STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
53,98822,5398822,B5,G6350,S,1131837710,5582389,+47.9019257,-120.5504512,N
53,98821,5398821,B5,G6350,S,4754899,198324,+47.5497169,-120.5586129,N
53,98357,5398357,B5,G6350,S,110004759,462073,+48.3338551,-124.6354040,N
53,98663,5398663,B5,G6350,S,11134084,70154,+45.6573955,-122.6631613,N
53,98684,5398684,B5,G6350,S,18064308,7161,+45.6305560,-122.5148386,N
53,98848,5398848,B5,G6350,S,1165967409,22124442,+47.1686432,-119.8429390,N
53,99166,5399166,B5,G6350,S,1520163637,4169556,+48.5756319,-118.6644917,N
53,98851,5398851,B5,G6350,S,411451359,11233329,+47.4121026,-119.4396460,N
53,99103,5399103,B5,G6350,S,590375063,96517,+47.7560052,-118.9276085,N
53,99357,5399357,B5,G6350,S,601540664,2568318,+46.8913099,-119.6616251,N
53,98520,5398520,B5,G6350,S,618430741,74611918,+47.2056382,-123.7543287,N
53,98260,5398260,B5,G6350,S,68456492,16909788,+48.0332311,-122.4538995,N
53,98282,5398282,B5,G6350,S,102982587,43985950,+48.2141123,-122.5002313,N
53,98278,5398278,B5,G6350,S,13633654,3705621,+48.3397056,-122.6716562,N
53,98368,5398368,B5,G6350,S,137583639,26654199,+48.0344015,-122.8389533,N
53,98030,5398030,B5,G6350,S,18448814,220436,+47.3685218,-122.1979759,N
53,98198,5398198,B5,G6350,S,20167178,2323850,+47.3913237,-122.3149760,N
53,98001,5398001,B5,G6350,S,48144696,824774,+47.3094956,-122.2644688,N
53,98112,5398112,B5,G6350,S,8187984,3833109,+47.6328103,-122.2885112,N
53,98058,5398058,B5,G6350,S,49037425,2139998,+47.4427366,-122.1239732,N
53,98052,5398052,B5,G6350,S,52053966,2151988,+47.6809904,-122.1205314,N
53,98056,5398056,B5,G6350,S,19466244,4020104,+47.5125270,-122.1902485,N
53,98077,5398077,B5,G6350,S,44819919,575692,+47.7523786,-122.0602825,N
53,98023,5398023,B5,G6350,S,26727719,3607159,+47.3114144,-122.3629099,N
53,98002,5398002,B5,G6350,S,18530037,338922,+47.3082862,-122.2168124,N
53,98354,5398354,B5,G6350,S,6237568,103929,+47.2519937,-122.3172889,N
53,98070,5398070,B5,G6350,S,95633751,33221105,+47.4071963,-122.4733222,N
53,98065,5398065,B5,G6350,S,191904766,2249153,+47.5842231,-121.7919511,N
53,98164,5398164,B5,G6350,S,9165,0,+47.6059615,-122.3320293,N
53,98353,5398353,B5,G6350,S,2078858,3000894,+47.5386400,-122.4926126,N
53,98937,5398937,B5,G6350,S,2032983911,19182289,+46.8111164,-121.1903092,N
53,98672,5398672,B5,G6350,S,376400105,3519062,+45.8390470,-121.4518325,N
53,98613,5398613,B5,G6350,S,239457793,0,+45.7367237,-120.9656569,N
53,98533,5398533,B5,G6350,S,311104187,571473,+46.6707304,-122.4195879,N
53,98585,5398585,B5,G6350,S,57419162,5326991,+46.5507215,-122.4770759,N
53,98304,5398304,B5,G6350,S,891110795,10382845,+46.8837436,-121.7368093,N
53,99013,5399013,B5,G6350,S,264478407,9319637,+47.8937174,-117.8308169,N
53,99029,5399029,B5,G6350,S,306871354,761442,+47.6938406,-117.8310063,N
53,98833,5398833,B5,G6350,S,522121524,180217,+48.7729383,-120.6401783,N
53,98834,5398834,B5,G6350,S,191382871,62892,+48.1202995,-120.0665064,N
53,98819,5398819,B5,G6350,S,320507529,2495709,+48.6163350,-119.8214494,N
53,98527,5398527,B5,G6350,S,25988400,33421089,+46.5851418,-123.9247256,N
53,98644,5398644,B5,G6350,S,1823365,325123,+46.3296070,-124.0569688,N
53,98640,5398640,B5,G6350,S,52515964,114019472,+46.5827228,-124.0272568,N
53,98621,5398621,B5,G6350,S,108841488,170887,+46.3791422,-123.5405546,N
53,99119,5399119,B5,G6350,S,1049239552,18950833,+48.5088823,-117.3155131,N
53,98371,5398371,B5,G6350,S,29867982,198584,+47.1994484,-122.3235413,N
53,98406,5398406,B5,G6350,S,11053311,1054058,+47.2641074,-122.5125908,N
53,98385,5398385,B5,G6350,S,1225463,33627,+47.1361623,-122.0894930,N
53,98335,5398335,B5,G6350,S,57778439,26846825,+47.2969474,-122.6236610,N
53,98396,5398396,B5,G6350,S,35538591,61771,+47.0947722,-122.0017165,N
53,98349,5398349,B5,G6350,S,55159877,54104847,+47.2728167,-122.7639563,N
53,98447,5398447,B5,G6350,S,122035,0,+47.1440955,-122.4434412,N
53,98221,5398221,B5,G6350,S,137490614,34329970,+48.5050248,-122.6592851,N
53,98280,5398280,B5,G6350,S,18480114,3873387,+48.6080008,-122.9102851,N
53,98279,5398279,B5,G6350,S,36329362,23798364,+48.6388945,-122.8076145,N
53,98297,5398297,B5,G6350,S,11703383,9005685,+48.7020618,-123.0265067,N
53,98241,5398241,B5,G6350,S,1060181498,6553150,+48.1916660,-121.2088221,N
53,98232,5398232,B5,G6350,S,138642205,4959379,+48.5705515,-122.4110646,N
53,98263,5398263,B5,G6350,S,421041,238126,+48.5237234,-122.0653012,N
53,99203,5399203,B5,G6350,S,12113205,29141,+47.6286406,-117.4029971,N
53,99003,5399003,B5,G6350,S,181679393,181043,+47.9202086,-117.2926786,N
53,99207,5399207,B5,G6350,S,14110126,157219,+47.6887498,-117.3874640,N
53,99025,5399025,B5,G6350,S,115272867,4931402,+47.7938587,-117.0753439,N
53,99110,5399110,B5,G6350,S,97353510,0,+48.0120856,-117.5763521,N
53,99114,5399114,B5,G6350,S,1886882696,6532253,+48.6551979,-117.7358341,N
53,99109,5399109,B5,G6350,S,725587412,348807,+48.2929474,-117.6985450,N
53,99179,5399179,B5,G6350,S,183608096,4030337,+46.4949788,-117.1259226,N
53,99128,5399128,B5,G6350,S,221476072,11495,+47.0979496,-117.0813441,Y
53,98908,5398908,B5,G6350,S,255917365,669380,+46.6152063,-120.7241130,N
53,99344,5399344,B5,G6350,S,1174591075,11541744,+46.8200686,-119.1780544,N
53,98852,5398852,B5,G6350,S,582849631,21062060,+48.2340241,-120.5558473,N
53,98836,5398836,B5,G6350,S,19786083,157461,+47.4756664,-120.4410100,N
53,98811,5398811,B5,G6350,S,13423862,0,+47.7138431,-120.3762985,N
53,98817,5398817,B5,G6350,S,2544385,912460,+47.7910625,-119.9943430,N
53,98331,5398331,B5,G6350,S,2022178740,125407709,+47.7773492,-124.1916744,N
53,98674,5398674,B5,G6350,S,214836558,11775068,+45.9512668,-122.6655415,N
53,98682,5398682,B5,G6350,S,78100407,0,+45.6732126,-122.4817488,N
53,99361,5399361,B5,G6350,S,579326402,0,+46.2365533,-118.1438385,N
53,98581,5398581,B5,G6350,S,76099428,0,+46.3578737,-123.0673141,N
53,98649,5398649,B5,G6350,S,516317446,105807,+46.3141428,-122.5345997,N
53,99118,5399118,B5,G6350,S,510135455,0,+48.8965407,-118.6385647,N
53,99141,5399141,B5,G6350,S,1372216440,70463364,+48.7369898,-118.1386915,N
53,99330,5399330,B5,G6350,S,199564362,0,+46.4897672,-119.0432214,N
53,99335,5399335,B5,G6350,S,438424455,8869750,+46.6517950,-118.4883783,N
53,99321,5399321,B5,G6350,S,95746219,6683052,+46.8784546,-119.9088032,N
53,98824,5398824,B5,G6350,S,990406,0,+47.0777932,-119.8586839,N
53,98575,5398575,B5,G6350,S,262809374,1032502,+47.4159172,-123.8028379,N
53,98376,5398376,B5,G6350,S,302919715,38761336,+47.8468366,-122.8522622,N
53,98109,5398109,B5,G6350,S,5178191,1079071,+47.6318633,-122.3442667,N
53,98103,5398103,B5,G6350,S,12005476,1705646,+47.6782553,-122.3381521,N
53,98121,5398121,B5,G6350,S,1141212,546001,+47.6151915,-122.3505805,N
53,98011,5398011,B5,G6350,S,21201057,0,+47.7533351,-122.2019679,N
53,98022,5398022,B5,G6350,S,1051343227,6351560,+47.2163720,-121.9129058,N
53,98003,5398003,B5,G6350,S,30089472,288168,+47.3077133,-122.3157728,N
53,98154,5398154,B5,G6350,S,9147,0,+47.6062106,-122.3337924,N
53,98174,5398174,B5,G6350,S,9145,0,+47.6045690,-122.3353595,N
53,98310,5398310,B5,G6350,S,15439818,6921558,+47.5919604,-122.6262740,N
53,98370,5398370,B5,G6350,S,146489098,25589757,+47.7540281,-122.6263314,N
53,98922,5398922,B5,G6350,S,1158190455,207111,+47.2670334,-120.8789814,N
53,98934,5398934,B5,G6350,S,2210185,0,+46.9818706,-120.4150529,N
53,98901,5398901,B5,G6350,S,302110890,4369335,+46.7226252,-120.4060387,N
53,99322,5399322,B5,G6350,S,639331821,0,+45.9439829,-120.1807743,N
53,98617,5398617,B5,G6350,S,28777996,1713782,+45.6430325,-121.1674932,N
53,98377,5398377,B5,G6350,S,551042622,7884575,+46.5248397,-121.8948119,N
53,98356,5398356,B5,G6350,S,259126114,17287327,+46.5611259,-122.2902868,N
53,98596,5398596,B5,G6350,S,231197016,468670,+46.4922577,-122.9526772,N
53,98572,5398572,B5,G6350,S,89608676,363560,+46.5463376,-123.3140839,N
53,98542,5398542,B5,G6350,S,35204952,0,+46.5252031,-122.7906318,N
53,99134,5399134,B5,G6350,S,555495051,1186480,+47.3981038,-118.2776664,N
53,99144,5399144,B5,G6350,S,87820793,0,+47.3777493,-118.5042905,N
53,98560,5398560,B5,G6350,S,149261191,96337,+47.3023496,-123.4258055,N
53,98862,5398862,B5,G6350,S,1160184395,2481634,+48.6027341,-120.3205295,N
53,98840,5398840,B5,G6350,S,1081267659,16015033,+48.3151294,-119.5799422,N
53,98577,5398577,B5,G6350,S,991184568,25952383,+46.6418486,-123.6103887,N
53,98590,5398590,B5,G6350,S,7980778,12070388,+46.7078729,-123.9985284,N
53,98638,5398638,B5,G6350,S,437297731,47861244,+46.3940461,-123.7613072,N
53,98641,5398641,B5,G6350,S,106518,0,+46.5464156,-124.0299364,N
53,99152,5399152,B5,G6350,S,12086183,989421,+48.8445743,-117.3967990,N
53,98466,5398466,B5,G6350,S,15460766,2149972,+47.2260504,-122.5394353,N
53,98424,5398424,B5,G6350,S,16337139,368362,+47.2353414,-122.3541919,N
